"code";"text";"markdown"
"Fibiger1993";"Fibiger, M., 1993. Noctuidae Europaeae Volume 2 Noctuinae II. — Entomological Press, Sorø, 230 p., 11 colour plates.";"**Fibiger, M.**, 1993. *Noctuidae Europaeae Volume ***2*** Noctuinae II.* - Entomological Press, Sor&oslash;, 230 p., 11 colour plates."
"Fibiger1997";"Fibiger, M., 1997. Noctuidae Europaeae Volume 3 Noctuinae III. — Entomological Press, Sorø, 418 pp.";"**Fibiger, M.**, 1997. *Noctuidae Europaeae Volume ***3*** Noctuinae III.* - Entomological Press, Sor&oslash;, 418 pp."
"Fologne1859a";"Fologne, E., 1859a. Lépidoptères. Catalogue des Phalénidées. Deuxième partie. — Annales de la Société entomologique belge 3: 107-132.";"**Fologne, E.**, 1859a. L&eacute;pidopt&egrave;res. Catalogue des Phal&eacute;nid&eacute;es. Deuxi&egrave;me partie. - *Annales de la Soci&eacute;t&eacute; entomologique belge* **3**: 107-132."
"Fologne1859b";"Fologne, E., 1859b. Supplément au catalogue des lépidoptères de Belgique. — Annales de la Société entomologique belge 3: 133-142.";"**Fologne, E.**, 1859b. Suppl&eacute;ment au catalogue des l&eacute;pidopt&egrave;res de Belgique. - *Annales de la Soci&eacute;t&eacute; entomologique belge* **3**: 133-142."
"Fologne1863";"Fologne, E., 1863. Addenda au catalogue des Lépidoptères de Belgique. — Annales de la Société entomologique de Belgique 7: 87-93.";" **Fologne, E.**, 1863. Addenda au catalogue des L&eacute;pidopt&egrave;res de Belgique. - *Annales de la Soci&eacute;t&eacute; entomologique de Belgique* **7**: 87-93."
"Ford1946";"Ford, L. T., 1946. The Psychidae. — Proceedings and Transactions of the South London entomological and Natural History Society 1945-1946: 103-110, pl. 11 [Reprint in: Agassiz, D. J. L., (Ed.), 1978: Illustrated papers on British Microlepidoptera. London, 170 p.].";"**Ford, L. T.**, 1946. The Psychidae. - *Proceedings and Transactions of the South London entomological and Natural History Society* **1945-1946**: 103-110, pl. 11 [Reprint in: Agassiz, D. J. L., (Ed.), 1978: Illustrated papers on British Microlepidoptera. London, 170 p.]."
"Ford1950";"Ford, L. T., 1950. The Plutellidae. — Proceedings and Transactions of the South London entomological and Natural History Society 1949-1950: 85-93, pl. 12 [Reprint in: Agassiz, D. J. L., (Ed.), 1978: Illustrated papers on British Microlepidoptera. London, 170 p.].";"**Ford, L. T.**, 1950. The Plutellidae. - *Proceedings and Transactions of the South London entomological and Natural History Society* **1949-1950**: 85-93, pl. 12 [Reprint in: Agassiz, D. J. L., (Ed.), 1978: Illustrated papers on British Microlepidoptera. London, 170 p.]."
"Ford1953";"Ford, L. T., 1953. Glyphipterygidae and allied families. — Proceedings and Transactions of the South London entomological and natural History Society 1952-1953: 90-99, pl. 8. [reprinted: Agassiz, D. J. L. (Ed.), 1978. Illustrated Papers on British Microlepidoptera. London, 170 p.].";"**Ford, L. T.**, 1953. Glyphipterygidae and allied families. - *Proceedings and Transactions of the South London entomological and natural History Society* **1952-1953**: 90-99, pl. 8. [reprinted: Agassiz, D. J. L. (Ed.), 1978. Illustrated Papers on British Microlepidoptera. London, 170 p.]."
"ForsterWohlfahrt1955";"Forster, W. & Wohlfahrt, Th. A., 1955. Die Schmetterlinge Mitteleuropas. Band 2. Tagfalter Diurna (Rhopalocera und Hesperiidae). — Franckh'sche Verlagshandlung, Stuttgart, 126 p., 28 colour plates.";"**Forster, W. &amp; Wohlfahrt, Th. A.**, 1955. *Die Schmetterlinge Mitteleuropas. Band 2. Tagfalter Diurna (Rhopalocera und Hesperiidae)*. - Franckh'sche Verlagshandlung, Stuttgart, 126 p., 28 colour plates."
"ForsterWohlfahrt1960";"Forster, W. & Wohlfahrt, Th. A., 1960. Die Schmetterlinge Mitteleuropas. Band 3. Spinner und Schwärmer (Bombyces und Sphinges). — Franckh'sche Verlagshandlung, Stuttgart, 239 p., 28 colour plates.";"**Forster, W. &amp; Wohlfahrt, Th. A.**, 1960. *Die Schmetterlinge Mitteleuropas. Band 3. Spinner und Schw&auml;rmer (Bombyces und Sphinges)*. - Franckh'sche Verlagshandlung, Stuttgart, 239 p., 28 colour plates."
"ForsterWohlfahrt1971";"Forster, W. & Wohlfahrt, Th. A., 1971. Die Schmetterlinge Mitteleuropas. Band 4. Eulen (Noctuidae). — Franckh'sche Verlagshandlung, Stuttgart, 329 p., 32 colour plates";"**Forster, W. &amp; Wohlfahrt, Th. A.**, 1971. *Die Schmetterlinge Mitteleuropas. Band 4. Eulen (Noctuidae).* - Franckh'sche Verlagshandlung, Stuttgart, 329 p., 32 colour plates"
"ForsterWohlfahrt1981";"Forster, W. & Wohlfahrt, Th. A., 1981. Die Schmetterlinge Mitteleuropas. Band 5. Spanner (Geometridae). — Franckh'sche Verlagshandlung, Stuttgart, 312 p., 26 colour plates";"**Forster, W. &amp; Wohlfahrt, Th. A.**, 1981. *Die Schmetterlinge Mitteleuropas. Band 5. Spanner (Geometridae).* - Franckh'sche Verlagshandlung, Stuttgart, 312 p., 26 colour plates"
"Friese1960";"Friese, G., 1960. Revision der paläarktischen Yponomeutidae unter besonderer Berücksichtigung der Genitalia (Lepidoptera). — Beiträge zur Entomologie 10: 1-131.";"**Friese, G.**, 1960. Revision der pal&auml;arktischen Yponomeutidae unter besonderer Ber&uuml;cksichtigung der Genitalia (Lepidoptera). - *Beitr&auml;ge zur Entomologie* **10**: 1-131."
"Friese1969";"Friese, G., 1969. Beiträge zur Insekten-Fauna der DDR: Lepidoptera - Argyresthiidae. — Beiträge zur Entomologie 19: 693-752.";"**Friese, G.**, 1969. Beitr&auml;ge zur Insekten-Fauna der DDR: Lepidoptera - Argyresthiidae. - *Beitr&auml;ge zur Entomologie* **19**: 693-752."
"Friese1973";"Friese, G., 1973. Beiträge zur Insekten-Fauna der DDR: Lepidoptera - Ethmiidae. — Beiträge zur Entomologie 23: 291-312.";"**Friese, G.**, 1973. Beitr&auml;ge zur Insekten-Fauna der DDR: Lepidoptera - Ethmiidae. - *Beitr&auml;ge zur Entomologie* **23**: 291-312."
"Gaedike1966";"Gaedike, R., 1966. Die Genitalien der europäischen Epermeniidae (Lepidoptera: Epermeniidae). — Beiträge zur Entomologie 16: 633-692.";"**Gaedike, R.**, 1966. Die Genitalien der europ&auml;ischen Epermeniidae (Lepidoptera: Epermeniidae). - *Beitr&auml;ge zur Entomologie* **16**: 633-692."
"Gaedike1967";"Gaedike, R., 1967. Zur systematischen Stellung einiger Gattungen der Heliodinidae/Schreckensteiniidae sowie Revision der paläarktischen Arten der Gattung Pancalia Curtis, 1830 (Lepidoptera). — Beiträge zur Entomologie 17: 363-374.";"**Gaedike, R.**, 1967. Zur systematischen Stellung einiger Gattungen der Heliodinidae/Schreckensteiniidae sowie Revision der pal&auml;arktischen Arten der Gattung *Pancalia* Curtis, 1830 (Lepidoptera). - *Beitr&auml;ge zur Entomologie* **17**: 363-374."
"Gaedike1968";"Gaedike, R., 1968. Beiträge zur Insekten-Fauna der DDR: Lepidoptera - Epermeniidae. — Beiträge zur Entomologie 18: 300-310.";"**Gaedike, R.**, 1968. Beitr&auml;ge zur Insekten-Fauna der DDR: Lepidoptera - Epermeniidae. - *Beitr&auml;ge zur Entomologie* **18**: 300-310."
"Gaedike1970a";"Gaedike, R., 1970a. Beiträge zur Insekten-Fauna der DDR: Lepidoptera - Acrolepiidae. - Beiträge zur Entomologie 20: 209-222.";"**Gaedike, R.**, 1970a. Beitr&auml;ge zur Insekten-Fauna der DDR: Lepidoptera - Acrolepiidae. - *Beitr&auml;ge zur Entomologie* **20**: 209-222."
"Gaedike1970b";"Gaedike, R., 1970b. Revision der paläarktischen Acrolepiidae (Lepidoptera). — Entomologische Abhandlungen und Berichte aus dem Staatlichen Museum für Tierkunde in Dresden 38: 1-54.";"**Gaedike, R.**, 1970b. Revision der pal&auml;arktischen Acrolepiidae (Lepidoptera). - *Entomologische Abhandlungen und Berichte aus dem Staatlichen Museum f&uuml;r Tierkunde in Dresden* **38**: 1-54."
"Gaedike1974";"Gaedike, R., 1974. Revision der paläarktischen Douglasiidae (Lepidoptera). — Sborník faunistickych Prací entomologického Oddeleni národního Musea v Praze 15: 79-101.";"**Gaedike, R.**, 1974. Revision der pal&auml;arktischen Douglasiidae (Lepidoptera). - *Sborn&iacute;k faunistickych Prac&iacute; entomologick&eacute;ho Oddeleni n&aacute;rodn&iacute;ho Musea v Praze*** 15**: 79-101."
"Gaedike1980";"Gaedike, R., 1980. Beiträge zur Insekten-Fauna der DDR: Lepidoptera - Pyraustinae. — Beiträge zur Entomologie 30: 41-120.";"**Gaedike, R.**, 1980. Beitr&auml;ge zur Insekten-Fauna der DDR: Lepidoptera - Pyraustinae. - *Beitr&auml;ge zur Entomologie* **30**: 41-120."
"Gaedike1983";"Gaedike, R., [1983]. Zur Kenntnis der paläarktischen Tineiden. Die Gattung Infurcitinea Spuler, 1910. — Entomologische Abhandlungen und Berichte aus dem Staatlichen Museum für Tierkunde in Dresden 46: 121-150.";"**Gaedike, R.**, [1983]. Zur Kenntnis der pal&auml;arktischen Tineiden. Die Gattung *Infurcitinea* Spuler, 1910. - *Entomologische Abhandlungen und Berichte aus dem Staatlichen Museum f&uuml;r Tierkunde in Dresden* **46**: 121-150."
